metacyc	kegg
GLYCERALDEHYDE-DEHYDRO-RXN	R01752
L-ARABINOKINASE-RXN	R01754
L-ARABINOSE-1-DEHYDROGENASE-RXN	R01757
RXN-14102	R01758
RXN-8772	R01759
BETA-L-ARABINOSIDASE-RXN	R01760
ARABISOM-RXN	R01761
BENZYL-ALC-DEHYDROGENASE-RXN	R01763
BENZOYLFORMATE-DECARBOXYLASE-RXN	R01764
PHENYLSERINE-ALDOLASE-RXN	R01766
MANDELONITRILE-LYASE-RXN	R01767
RXN-7682	R01768
INOSINE-NUCLEOSIDASE-RXN	R01770
HOMOSERKIN-RXN	R01771
HOMOSERDEHYDROG-RXN	R01773
HOMOSERDEHYDROG-RXN	R01775
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	R01776
HOMSUCTRAN-RXN	R01777
1.1.1.211-RXN	R01778
OHACYL-COA-DEHYDROG-RXN	R01778
RXN-7698	R01779
3-OXOACID-COA-TRANSFERASE-RXN	R01780
GLYCOLALDREDUCT-RXN	R01781
4.1.2.28-RXN	R01782
4.1.2.18-RXN	R01784
GLUCOKIN-RXN	R01786
RXN-15312	R01788
RXN-7909	R01793
RXN-14206	R01795
CDPDIGLYPYPHOSPHA-RXN	R01797
CDPDIGLYSYN-RXN	R01799
PHOSPHASERSYN-RXN	R01800
PHOSPHAGLYPSYN-RXN	R01801
2.7.8.11-RXN	R01802
N-ACETYLNEURAMINATE-SYNTHASE-RXN	R01804
RXN-9989	R01805
2.3.1.44-RXN	R01806
2.3.1.45-RXN	R01807
RXN-7864	R01808
ACNEULY-RXN	R01811
1.1.1.253-RXN	R01812
RXN-8854	R01813
1.14.16.3-RXN	R01816
MANNOSE-6-PHOSPHATE-6-REDUCTASE-RXN	R01817
PHOSMANMUT-RXN	R01818
RXN0-5184	R01821
AMYLOSUCRASE-RXN	R01823
ERYTH4PDEHYDROG-RXN	R01825
DAHPSYN-RXN	R01826
TRANSALDOL-RXN	R01827
SEDOBISALDOL-RXN	R01829
2TRANSKETO-RXN	R01830
1.14.99.12-RXN	R01833
RXN-16513	R01835
TESTOSTERONE-17-BETA-DEHYDROGENASE-RXN	R01836
1.1.1.64-RXN	R01838
4.1.2.30-RXN	R01841
RXN0-6541	R01843
SEDOHEPTULOKINASE-RXN	R01844
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	R01845
HYDROGEN-SULFIDE-S-ACETYLTRANSFERASE-RXN	R01850
METHANETHIOL-OXIDASE-RXN	R01851
RXN-9597	R01853
RXN0-385	R01855
DGTPTRIPHYDRO-RXN	R01856
DGDPKIN-RXN	R01857
RXN-14207	R01858
PROPIONYL-COA-CARBOXY-RXN	R01859
AMINOBENZOATE-DECARBOXYLASE-RXN	R01860
ARYL-ACYLAMIDASE-RXN	R01862
INOPHOSPHOR-RXN	R01863
OROTATE-REDUCTASE-NADPH-RXN	R01866
RXN-9929	R01867
DIHYDROOROTATE-DEHYDROGENASE-RXN	R01868
OROTATE-REDUCTASE-NADH-RXN	R01869
OROPRIBTRANS-RXN	R01870
QUINATE-5-DEHYDROGENASE-RXN	R01872
1.1.99.25-RXN	R01873
DCYSDESULF-RXN	R01874
THIOSULFATE--THIOL-SULFURTRANSFERASE-RXN	R01875
URPHOS-RXN	R01876
RXN-14115	R01877
CYTIDEAM2-RXN	R01878
1.14.11.3-RXN	R01879
CREATINE-KINASE-RXN	R01881
PHOSPHOAMIDASE-RXN	R01882
GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN	R01883
CREATININASE-RXN	R01884
RXN-10763	R01885
RXN-8732	R01886
KANAMYCIN-KINASE-RXN	R01888
AMINOGLYCOSIDE-N6-ACETYLTRANSFERASE-RXN	R01889
2.7.7.15-RXN	R01890
CERAMIDE-CHOLINEPHOSPHOTRANSFERASE-RXN	R01891
RIBITOL-2-DEHYDROGENASE-RXN	R01895
D-XYLULOSE-REDUCTASE-RXN	R01896
D-LYXOSE-KETOL-ISOMERASE-RXN	R01898
RXN-9951	R01899
ACONITATEHYDR-RXN	R01900
LYXK-RXN	R01901
L-ARABINITOL-4-DEHYDROGENASE-RXN	R01903
L-XYLULOSE-REDUCTASE-RXN	R01904
DEHYDRO-L-GULONATE-DECARBOXYLASE-RXN	R01905
LYXISOM-RXN	R01906
OXALYL-COA-DECARBOXYLASE-RXN	R01908
PNKIN-RXN	R01909
2.4.1.160-RXN	R01912
RXN-10747	R01914
SPERMIDINE-DEHYDROGENASE-RXN	R01915
GSPSYN-RXN	R01917
GSPAMID-RXN	R01918
2.5.1.45-RXN	R01919
SPERMIDINESYN-RXN	R01920
1.1.1.254-RXN	R01921
CARNITINAMIDASE-RXN	R01922
CARNITINE-O-PALMITOYLTRANSFERASE-RXN	R01923
ACYLCARNITINE-HYDROLASE-RXN	R01924
RXN3DJ-11417	R01926
2.4.1.23-RXN	R01928
2.7.8.10-RXN	R01929
3.12.1.1-RXN	R01930
THIOSULFATE-SULFURTRANSFERASE-RXN	R01931
2-OXOADIPATE-REDUCTASE-RXN	R01932
2-KETO-ADIPATE-DEHYDROG-RXN	R01933
RXN-7970	R01934
2-AMINOMUCONATE-REDUCTASE-RXN	R01937
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	R01939
RXN0-1147	R01940
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	R01942
RXN-1126	R01943
2.3.1.138-RXN	R01944
RXN-2622	R01945
2.3.1.126-RXN	R01946
2.7.7.30-RXN	R01951
GLYCOPROTEIN-N-PALMITOYLTRANSFERASE-RXN	R01952
ARGSUCCINSYN-RXN	R01954
2.6.1.7-RXN	R01956
2.6.1.63-RXN	R01957
ARYLFORMAMIDASE-RXN	R01959
KYNURENINE-3-MONOOXYGENASE-RXN	R01960
GLUCOSAMINE-KINASE-RXN	R01961
N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN	R01963
DEOXYGUANOSINE-KINASE-RXN	R01967
RXN-14142	R01968
DEOXYGUANPHOSPHOR-RXN	R01969
INDOLELACTATE-DEHYDROGENASE-RXN	R01971
RXN-17530	R01972
4.1.1.74-RXN	R01974
RXN-11662	R01975
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN	R01976
RXN-5901	R01977
HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	R01978
GALACTURONOKINASE-RXN	R01980
URONATE-DEHYDROGENASE-RXN	R01981
GALACTUROISOM-RXN	R01983
RXN-14209	R01986
RXN-36	R01987
GUANIDINOBUTYRASE-RXN	R01990
DIHYDROOROT-RXN	R01993
LONG-CHAIN-ALCOHOL-DEHYDROGENASE-RXN	R01998
2.3.1.75-RXN	R01999
RUBREDOXIN--NAD+-REDUCTASE-RXN	R02000
FPPSYN-RXN	R02003
4.2.3.10-RXN	R02004
4.2.3.11-RXN	R02006
GERANYL-DIPHOSPHATE-CYCLASE-RXN	R02007
RXN-5110	R02009
RXN-5108	R02010
RXN-5142	R02011
4.2.3.16-RXN	R02013
THIOREDOXIN-REDUCT-NADPH-RXN	R02016
ADPREDUCT-RXN	R02017
UDPREDUCT-RXN	R02018
GDPREDUCT-RXN	R02019
1.8.4.8-RXN	R02021
CDPREDUCT-RXN	R02024
PGPPHOSPHA-RXN	R02029
RXN-8141	R02030
1.1.1.43-RXN	R02034
6PGLUCONOLACT-RXN	R02035
PGLUCONDEHYDRAT-RXN	R02036
2.1.1.103-RXN	R02037
2.7.7.14-RXN	R02038
LONG-CHAIN-ALDEHYDE-DEHYDROGENASE-RXN	R02039
3.5.1.55-RXN	R02040
3.5.1.60-RXN	R02041
WAX-ESTER-HYDROLASE-RXN	R02042
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	R02047
2.6.1.40-RXN	R02050
PHOSPHASERDECARB-RXN	R02055
2.1.1.17-RXN	R02056
ETHANOLAMINEPHOSPHOTRANSFERASE-RXN	R02057
GLUCOSAMINEPNACETYLTRANS-RXN	R02058
NAG6PDEACET-RXN	R02059
5.4.2.10-RXN	R02060
FARNESYLTRANSTRANSFERASE-RXN	R02061
RXN-10625	R02063
CASBENE-SYNTHASE-RXN	R02064
2.5.1.32-RXN	R02065
5.5.1.13-RXN	R02068
1PFRUCTPHOSN-RXN	R02071
RXN-8460	R02075
STIZOLOBINATE-SYNTHASE-RXN	R02076
2.6.1.49-RXN	R02077
MONOPHENOL-MONOOXYGENASE-RXN	R02078
RXN66-221	R02080
HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN	R02081
1.1.1.34-RXN	R02082
HYDROXYMETHYLGLUTARYL-COA-HYDROLASE-RXN	R02083
2.8.3.13-RXN	R02084
METHYLGLUTACONYL-COA-HYDRATASE-RXN	R02085
NANE-RXN	R02087
RXN-14161	R02088
DEOXYADENOSINE-KINASE-RXN	R02089
GMKALT-RXN	R02090
RXN-14213	R02092
DTDPKIN-RXN	R02093
DTMPKI-RXN	R02094
THYMIDINE-TRIPHOSPHATASE-RXN	R02095
RXN-14122	R02098
DURIDKI-RXN	R02099
DUTP-PYROP-RXN	R02100
THYMIDYLATESYN-RXN	R02101
RXN-14143	R02102
RXN0-901	R02103
URATE-OXIDASE-RXN	R02106
XANTHINE-OXIDASE-RXN	R02107
RXN-7710	R02110
STEROL-GLUCOSYLTRANSFERASE-RXN	R02113
2.3.1.43-RXN	R02114
STEROL-ESTERASE-RXN	R02115
RXN-4723	R02118
ZEATIN-O-BETA-D-XYLOSYLTRANSFERASE-RXN	R02119
2.4.1.125-RXN	R02120
DEXTRIN-DEXTRANASE-RXN	R02121
HEPARITIN-SULFOTRANSFERASE-RXN	R02122
RETINAL-DEHYDROGENASE-RXN	R02123
RETINOL-DEHYDROGENASE-RXN	R02124
RETINAL-OXIDASE-RXN	R02125
RXN-13681	R02125
STEROID-21-MONOOXYGENASE-RXN	R02130
STEROID-17-ALPHA-MONOOXYGENASE-RXN	R02131
THIAMIN-OXIDASE-RXN	R02132
THIAMINASE-RXN	R02133
THIKIN-RXN	R02134
RXNQT-4191	R02135
XYLITOL-KINASE-RXN	R02136
RXN0-361	R02137
DOLICHOL-O-ACYLTRANSFERASE-RXN	R02138
BARBITURASE-RXN	R02139
R127-RXN	R02141
XANPRIBOSYLTRAN-RXN	R02142
RXN0-363	R02143
CARNOSINE-N-METHYLTRANSFERASE-RXN	R02144
GUANOSINE-DEAMINASE-RXN	R02145
RXN0-5199	R02147
RXN-14124	R02148
RXN-9600	R02150
HISTAMINE-N-METHYLTRANSFERASE-RXN	R02155
QUERCETIN-23-DIOXYGENASE-RXN	R02156
QUERCETIN-3-O-METHYLTRANSFERASE-RXN	R02157
RXN1F-462	R02158
FLAVONOL-3-SULFOTRANSFERASE-RXN	R02159
RXN-527	R02160
NADH-DEHYDROG-A-RXN	R02163
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	R02164
RXN0-6369	R02165
MANNITOL-1-PHOSPHATASE-RXN	R02167
2.4.1.36-RXN	R02168
PENICILLIN-AMIDASE-RXN	R02170
3.2.2.10-RXN	R02171
RIBOSYLPYRIMIDINE-NUCLEOSIDASE-RXN	R02172
RXN-1401	R02173
RXN3O-102	R02175
--MENTHOL-DEHYDROGENASE-RXN	R02177
--MENTHOL-MONOOXYGENASE-RXN	R02178
2.4.1.127-RXN	R02179
CHONDROITIN-4-SULFOTRANSFERASE-RXN	R02180
3.5.1.83-RXN	R02182
2.4.1.41-RXN	R02183
POLYPHOSPHATE-KINASE-RXN	R02184
2.7.1.63-RXN	R02185
2.7.4.20-RXN	R02186
2.7.4.17-RXN	R02188
3.5.1.77-RXN	R02190
D-AMINO-ACID-N-ACETYLTRANSFERASE-RXN	R02191
3.5.1.81-RXN	R02192
RXN-1106	R02193
6.2.1.34-RXN	R02194
2.3.1.99-RXN	R02195
ILEDEAMINE-RXN	R02196
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	R02199
2.6.1.32-RXN	R02200
RXN-14210	R02201
RXN-8166	R02203
L-PIPECOLATE-OXIDASE-RXN	R02204
L-PIPECOLATE-DEHYDROGENASE-RXN	R02206
PROGESTERONE-5-ALPHA-REDUCTASE-RXN	R02208
RXN-7817	R02210
PROGESTERONE-MONOOXYGENASE-RXN	R02212
PROGESTERONE-11-ALPHA-MONOOXYGENASE-RXN	R02214
RXN-9722	R02216
RXN-9726	R02219
RXN-1124	R02220
RXN-10919	R02221
1.14.19.1-RXN	R02222
STREPTOMYCIN-6-KINASE-RXN	R02225
STREPTOMYCIN-3-ADENYLYLTRANSFERASE-RXN	R02226
STREPTOMYCIN-3-KINASE-RXN	R02227
STREPTOMYCIN-6-PHOSPHATASE-RXN	R02228
CYCLOHEXANOL-DEHYDROGENASE-RXN	R02229
CYCLOHEXANONE-MONOOXYGENASE-RXN	R02231
4.1.3.35-RXN	R02232
CYCLOHEXYLAMINE-OXIDASE-RXN	R02233
CYCLOHEXANONE-DEHYDROGENASE-RXN	R02234
DIHYDROFOLATESYNTH-RXN	R02237
FORMATE--DIHYDROFOLATE-LIGASE-RXN	R02238
PHOSPHATIDATE-PHOSPHATASE-RXN	R02239
DIACYLGLYKIN-RXN	R02240
RXN-1623	R02241
2-ACYL2.3.1.15-RXN	R02242
ACONITATE-DECARBOXYLASE-RXN	R02243
ACONITATE-DELTA-ISOMERASE-RXN	R02244
MEVALONATE-KINASE-RXN	R02245
MEVALDATE-REDUCTASE-RXN	R02246
MEVALDATE-REDUCTASE-NADPH-RXN	R02247
POLYNUCLEOTIDE-3-PHOSPHATASE-RXN	R02248
POLYNUCLEOTIDE-5-PHOSPHATASE-RXN	R02249
DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	R02251
TRANS-CINNAMATE-4-MONOOXYGENASE-RXN	R02253
TRANS-CINNAMATE-2-MONOOXYGENASE-RXN	R02254
RXN-2001	R02255
CINNAMATE-GLUCOSYLTRANSFERASE-RXN	R02256
LACTALDREDUCT-RXN	R02258
RXN-15744	R02259
1.1.1.283-RXN	R02260
RXN0-5433	R02261
FUCPALDOL-RXN	R02262
RHAMNULPALDOL-RXN	R02263
PROSTAGLANDIN-E-SYNTHASE-RXN	R02265
PROSTAGLANDIN-D-SYNTHASE-RXN	R02266
PROSTAGLANDIN-I-SYNTHASE-RXN	R02267
THROMBOXANE-A-SYNTHASE-RXN	R02268
DIHYDROPYRIMIDINASE-RXN	R02269
AMINOLEVULINATE-AMINOTRANSFERASE-RXN	R02271
GSAAMINOTRANS-RXN	R02272
5-AMINOPENTANAMIDASE-RXN	R02273
VAGL-RXN	R02274
AMVAL-RXN	R02276
SECONDARY-ALCOHOL-OXIDASE-RXN	R02277
4.2.1.43-RXN	R02278
4.2.1.41-RXN	R02279
3.5.4.22-RXN	R02280
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	R02282
ACETYLORNTRANSAM-RXN	R02283
CARBOXYMETHYLHYDANTOINASE-RXN	R02284
FORMIMINOGLUTAMASE-RXN	R02285
FORMIMINOGLUTAMATE-DEIMINASE-RXN	R02286
GLUTAMATE-FORMIMINOTRANSFERASE-RXN	R02287
IMIDAZOLONEPROPIONASE-RXN	R02288
METHCOCLTH-RXN	R02289
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	R02291
DIHYDRODIPICSYN-RXN	R02292
2.6.1.46-RXN	R02293
RXN0-7092	R02294
XANTHOSINEPHOSPHORY-RXN	R02297
RXN-6321	R02300
5-FORMYL-THF-CYCLO-LIGASE-RXN	R02301
4.3.1.4-RXN	R02302
FARNESYL-DIPHOSPHATE-KINASE-RXN	R02303
PENTALENENE-SYNTHASE-RXN	R02305
TRICHODIENE-SYNTHASE-RXN	R02306
ARISTOLOCHENE-SYNTHASE-RXN	R02307
4.6.1.11-RXN	R02311
1.5.1.9-RXN	R02313
RXN3O-127	R02315
RXN-8173	R02317
ISOCITRATE-EPIMERASE-RXN	R02318
NUCLEOSIDE-TRIPHOSPHATASE-RXN	R02319
DEOXYCYTIDINE-KINASE-RXN	R02321
NMNAMIDOHYDRO-RXN	R02322
RXN-5841	R02323
RIBOSYLNICOTINAMIDE-KINASE-RXN	R02324
DCTP-DEAM-RXN	R02325
DCDPKIN-RXN	R02326
DTDPGLUCOSEPP-RXN	R02328
2.7.7.32-RXN	R02329
RXN-14219	R02330
DUDPKIN-RXN	R02331
CHITIN-DEACETYLASE-RXN	R02333
CHITIN-SYNTHASE-RXN	R02335
HALOACETATE-DEHALOGENASE-RXN	R02336
HALOALKANE-DEHALOGENASE-RXN	R02337
INDOLE-23-DIOXYGENASE-RXN	R02338
RXN0-2381	R02340
PURINE-NUCLEOSIDASE-RXN	R02341
ACETOINDEHYDROG-RXN	R02343
SS-BUTANEDIOL-DEHYDROGENASE-RXN	R02344
2.2.1.4-RXN	R02345
ESTRADIOL-17-ALPHA-DEHYDROGENASE-RXN	R02349
ESTRONE-SULFOTRANSFERASE-RXN	R02350
RXN66-346	R02351
URETHANASE-RXN	R02359
4.2.2.2-RXN	R02361
RXN-2102	R02362
RXN-18851	R02363
QOR-RXN	R02364
RETINOL-O-FATTY-ACYLTRANSFERASE-RXN	R02366
RXN-12547	R02367
3.1.1.64-RXN	R02368
RXN-14090	R02370
ECDYSONE-OXIDASE-RXN	R02373
RXN-18799	R02374
ECDYSONE-O-ACYLTRANSFERASE-RXN	R02375
PROPANEDIOL-DEHYDRATASE-RXN	R02376
RXN-13198	R02377
PYRAZOLYLALANINE-SYNTHASE-RXN	R02378
RXN-3422	R02379
SINAPATE-1-GLUCOSYLTRANSFERASE-RXN	R02380
SINAPINE-ESTERASE-RXN	R02381
RXN-5821	R02382
TYRAMINE-N-METHYLTRANSFERASE-RXN	R02384
TYRAMINE-N-FERULOYLTRANSFERASE-RXN	R02385
ARYLAMINE-N-ACETYLTRANSFERASE-RXN	R02387
ARYLAMINE-GLUCOSYLTRANSFERASE-RXN	R02388
BILIVERDIN-REDUCTASE-RXN	R02393
BILIRUBIN-OXIDASE-RXN	R02394
CARNITINE-3-DEHYDROGENASE-RXN	R02395
CARNITINE-O-ACETYLTRANSFERASE-RXN	R02396
1.14.11.1-RXN	R02397
CARNITINE-DECARBOXYLASE-RXN	R02398
GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	R02401
GLUTARATE--COA-LIGASE-RXN	R02402
RXN-8988	R02405
RXN-8987	R02407
CYSTHIOCYS-RXN	R02408
2.4.1.82-RXN	R02411
SHIKIMATE-KINASE-RXN	R02412
SHIKIMATE-5-DEHYDROGENASE-RXN	R02413
SHIKIMATE-PQQ-RXN	R02415
2.3.1.133-RXN	R02416
QUESTIN-MONOOXYGENASE-RXN	R02417
3.4.19.12-RXN	R02418
MALEATE-HYDRATASE-RXN	R02419
GLYCOGENSYN-RXN	R02421
ALLANTOICASE-RXN	R02422
ALLANTOATE-DEIMINASE-RXN	R02423
ALLANTOINASE-RXN	R02425
CDP-GLUCOSE-46-DEHYDRATASE-RXN	R02426
RXN-12246	R02427
RXN-19753	R02428
XYLONATE-DEHYDRATASE-RXN	R02429
ERYTHRITOL-KINASE-RXN	R02430
2.7.7.46-RXN	R02432
RXN-11737	R02433
RXN-18356	R02434
QUERCITRINASE-RXN	R02436
RHAMNISOM-RXN	R02437
RXN0-5116	R02439
1.1.1.13-RXN	R02441
RXN-7652	R02442
NARINGENIN-3-DIOXYGENASE-RXN	R02444
RXN-7686	R02445
APIGNAR-RXN	R02446
RXN-7481	R02447
1.14.13.58-RXN	R02449
1.2.1.58-RXN	R02450
1.3.99.15-RXN	R02451
GLYCINE-N-BENZOYLTRANSFERASE-RXN	R02452
ANTHRANILATE-N-BENZOYLTRANSFERASE-RXN	R02453
MANNONOXIDOREDUCT-RXN	R02454
MANNURONATE-REDUCTASE-RXN	R02456
D-ARGINASE-RXN	R02458
ORNMUTST-RXN	R02461
HEXADECANOL-DEHYDROGENASE-RXN	R02462
2-HEXADECENAL-REDUCTASE-RXN	R02463
SPHINGANINE-1-PHOSPHATE-ALDOLASE-RXN	R02464
HYALURONATE-LYASE-RXN	R02465
SULFINOALANINE-DECARBOXYLASE-RXN	R02466
CYSTEAMINE-DIOXYGENASE-RXN	R02467
--LIMONENE-6-MONOOXYGENASE-RXN	R02468
--LIMONENE-3-MONOOXYGENASE-RXN	R02469
--LIMONENE-7-MONOOXYGENASE-RXN	R02470
PANTOATE-4-DEHYDROGENASE-RXN	R02471
2-DEHYDROPANTOATE-REDUCT-RXN	R02472
PANTOATE-BETA-ALANINE-LIG-RXN	R02473
PANTOTHENASE-RXN	R02474
HOLOCYTOCHROME-C-SYNTHASE-RXN	R02480
D-TRYPTOPHAN-N-ACETYLTRANSFERASE-RXN	R02481
D-TRYPTOPHAN-N-MALONYLTRANSFERASE-RXN	R02482
URA-PHOSPH-RXN	R02484
CYTIDEAM-RXN	R02485
1.14.11.10-RXN	R02486
GLUTARYL-COA-DEHYDROGENASE-RXN	R02488
GENTISATE-DECARBOXYLASE-RXN	R02489
ITACONYL-COA-HYDRATASE-RXN	R02490
ITACONYL-COA-HYDRATASE-RXN	R02491
RXN-14138	R02492
PYRAMKIN-RXN	R02493
RXN66-343	R02497
TRIMETAPHOSPHATASE-RXN	R02504
PINOSYLVIN-SYNTHASE-RXN	R02505
CINNAMOYL-COA-REDUCTASE-RXN	R02506
NN-DIMETHYLFORMAMIDASE-RXN	R02509
1.5.8.2-RXN	R02511
TRIMETHYLAMINE-OXIDE-ALDOLASE-RXN	R02512
DIMETHYLARGININASE-RXN	R02513
1.14.13.18-RXN	R02516
1.14.13.63-RXN	R02517
HOMOGENTISATE-12-DIOXYGENASE-RXN	R02519
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	R02521
L-ARABINONATE-DEHYDRATASE-RXN	R02522
L-ARABINONOLACTONASE-RXN	R02526
D-LACTALDEHYDE-DEHYDROGENASE-RXN	R02527
RXN0-4281	R02528
AMACETOXID-RXN	R02529
GLYOXI-RXN	R02530
RXN-10907	R02532
RXN66-241	R02533
RXN-10906	R02534
DOPAMINE-BETA-MONOOXYGENASE-RXN	R02535
PHENDEHYD-RXN	R02536
RXN-10819	R02539
RXN-12492	R02540
SPHINGOMYELIN-PHOSPHODIESTERASE-RXN	R02541
SPHINGOMYELIN-PHOSPHODIESTERASE-D-RXN	R02542
MESO-TARTRATE-DEHYDROGENASE-RXN	R02544
RXN-8643	R02545
TARTRATE-EPIMERASE-RXN	R02546
TRANS-EPOXYSUCCINATE-HYDROLASE-RXN	R02547
+-NEOMENTHOL-DEHYDROGENASE-RXN	R02548
AMINOBUTDEHYDROG-RXN	R02549
N-BENZYLOXYCARBONYLGLYCINE-HYDROLASE-RXN	R02551
3.5.1.64-RXN	R02552
CYCLOPENTANOL-DEHYDROGENASE-RXN	R02553
CYCLOPENTANONE-MONOOXYGENASE-RXN	R02554
ALTRO-OXIDOREDUCT-RXN	R02555
ADDALT-RXN	R02556
DEOXYADENPHOSPHOR-RXN	R02557
PRUNASIN-BETA-GLUCOSIDASE-RXN	R02558
4-AMINOBENZOATE-1-MONOOXYGENASE-RXN	R02562
SERINE-PHOSPHOETHANOLAMINE-SYNTHASE-RXN	R02563
CYCLAMATE-SULFOHYDROLASE-RXN	R02564
BADH-RXN	R02565
RXN-8631	R02568
RXN0-1133	R02569
RXN0-1147	R02570
THIOETHER-S-METHYLTRANSFERASE-RXN	R02572
2.1.1.19-RXN	R02573
DIMETHYLPROPIOTHETIN-DETHIOMETHYLASE-RXN	R02574
GUANIDOACETATE-KINASE-RXN	R02575
GLUTAMINE-N-PHENYLACETYLTRANSFERASE-RXN	R02576
1.1.1.141-RXN	R02580
PROSTAGLANDIN-E2-9-REDUCTASE-RXN	R02581
2.7.10.1-RXN	R02584
PROTEIN-TYROSINE-PHOSPHATASE-RXN	R02585
PROTEIN-TYROSINE-SULFOTRANSFERASE-RXN	R02586
3.1.3.68-RXN	R02587
2-DEOXYGLUCOSIDASE-RXN	R02588
3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN	R02589
3.1.4.38-RXN	R02591
RXN-2602	R02593
2.4.1.111-RXN	R02594
CONIFERIN-BETA-GLUCOSIDASE-RXN	R02595
N-ACYLNEURAMINATE-9-PHOSPHATASE-RXN	R02597
3.1.4.40-RXN	R02598
RXN-12148	R02600
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	R02601
4.1.1.77-RXN	R02602
MHPCHYDROL-RXN	R02603
3.7.1.9-RXN	R02604
4.5.1.4-RXN	R02605
3.7.1.8-RXN	R02606
CHOLESTENONE-5-BETA-REDUCTASE-RXN	R02609
CHOLESTENONE-5-ALPHA-REDUCTASE-RXN	R02610
RXN-7700	R02611
RXN-11510	R02612
AMINEPHEN-RXN	R02613
STYRENE-OXIDE-ISOMERASE-RXN	R02615
GALACTOACETYLTRAN-RXN	R02616
3-SULFINOALANINE-AMINOTRANSFERASE-RXN	R02619
LONG-CHAIN-FATTY-ACYL-COA-REDUCTASE-RXN	R02620
PROTEIN-ARGININE-DEIMINASE-RXN	R02621
CHEBDEAMID-RXN	R02622
CHER-RXN	R02623
2.7.13.1-RXN	R02625
2.7.13.2-RXN	R02626
2.1.1.85-RXN	R02627
2.7.3.9-RXN	R02628
TRANS-RXN-167A	R02631
2.8.2.26-RXN	R02632
2.8.2.27-RXN	R02633
RXN-3	R02634
UDP-GALACTURONATE-DECARBOXYLASE-RXN	R02636
RXN0-703	R02637
3-DEHYDRO-L-GULONATE-2-DEHYDROGENASE-RXN	R02639
L-GULONATE-3-DEHYDROGENASE-RXN	R02640
3-OXO-5-BETA-STEROID-4-DEHYDROGENASE-RXN	R02642
1.3.99.5-RXN	R02643
STEROID-DELTA-ISOMERASE-RXN	R02644
URATE-RIBONUCLEOTIDE-PHOSPHORYLASE-RXN	R02646
3.1.4.42-RXN	R02648
ACETYLGLUTKIN-RXN	R02649
N-ACYLMANNOSAMINE-KINASE-RXN	R02650
N-ACYLMANNOSAMINE-1-DEHYDROGENASE-RXN	R02651
N-ACYLGLUCOSAMINE-2-EPIMERASE-RXN	R02652
2.4.1.198-RXN	R02654
GENTISATE-12-DIOXYGENASE-RXN	R02656
DEHYDOGLUCONOKINASE-RXN	R02658
MEPROPCOA-FAD-RXN	R02661
2.3.1.168-RXN	R02662
1.13.11.6-RXN	R02665
3-HYDROXYANTHRANILATE-OXIDASE-RXN	R02666
2.1.1.97-RXN	R02667
3-HYDROXY-KYNURENINASE-RXN	R02668
HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN	R02672
4-HYDROXYMANDELATE-OXIDASE-RXN	R02673
HYDROXYMANDELONITRILE-LYASE-RXN	R02676
RXN-10715	R02678
1.1.1.190-RXN	R02679
1.1.1.191-RXN	R02680
INDOLE-3-ACETALDEHYDE-OXIDASE-RXN	R02681
FATTY-ACYL-ETHYL-ESTER-SYNTHASE-RXN	R02682
1.1.1.188-RXN	R02684
ENOYL-COA-HYDRAT-RXN	R02685
3.1.1.--RXN	R02687
2.4.1.157-RXN	R02689
2.4.1.46-RXN	R02691
2.3.1.73-RXN	R02693
1.2.1.53-RXN	R02695
RXN3DJ-170	R02701
NANK-RXN	R02705
1.14.13.42-RXN	R02708
2.4.1.178-RXN	R02709
4-METHYLENEGLUTAMATE--AMMONIA-LIGASE-RXN	R02711
4-METHYLENEGLUTAMINASE-RXN	R02712
D-ARABINONOLACTONASE-RXN	R02714
1.1.3.37-RXN	R02715
2.4.1.53-RXN	R02716
6.1.1.13-RXN	R02718
XMPXAN-RXN	R02719
RXN0-1603	R02720
TRYPSYN-RXN	R02722
RXN-7875	R02723
1.14.15.6-RXN	R02724
ALPHAALPHA-TREHALOSE-PHOSPHORYLASE-RXN	R02727
BETA-PHOSPHOGLUCOMUTASE-RXN	R02728
GLYCINE-FORMIMINOTRANSFERASE-RXN	R02729
3.1.3.54-RXN	R02730
